timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,event_class,source,risk_level,accel_mag,gyro_mag,jerk,braking_intensity,turn_sharpness,harsh_accel_flag,harsh_brake_flag,harsh_turn_flag,tilt_angle,impact_score
22-3-2023 19:49:1:524977,-0.208853,-0.676749,-1.272377,-0.068744,-0.011006,0.001382,Safe-no-movement,kaggle,0,1.4562115281575683,0.06963317812652242,0.06338540890238775,0.676749,0.001382,0,0,0,-8.245920519572273,0.6223901873717004
22-3-2023 19:49:1:573003,-0.659123,-1.174921,-0.898748,-0.08419,0.019089,5.1e-05,Safe-no-movement,kaggle,0,1.6194537513847072,0.08632698663801489,0.16324222322713888,1.174921,5.1e-05,0,0,0,-24.016724472626024,0.722652263513429
22-3-2023 19:49:1:612953,-0.333396,-0.849193,-0.266453,-0.068478,0.00018,-0.000216,Safe-no-movement,kaggle,0,0.950409830164861,0.0684785772340518,0.6690439212198461,0.849193,0.000216,0,0,0,-20.535754386852307,0.6014206816021138
22-3-2023 19:49:1:660947,-0.716605,0.453718,0.662828,-0.044775,-0.01287,0.001116,Safe-no-movement,kaggle,0,1.0764402942722835,0.04660131951994493,0.12603046410742247,0.0,0.001116,0,0,0,-41.73738350227098,0.4823656527971236
22-3-2023 19:49:1:708977,-0.342976,-1.040797,-0.831686,-0.077266,0.03347,0.001116,Safe-no-movement,kaggle,0,1.375715281001487,0.08421116975793651,0.2992749867292035,1.040797,0.001116,0,0,0,-14.436531488184745,0.6653319593467368
22-3-2023 19:49:1:748983,-0.228013,-1.510229,-1.703487,-0.074603,-0.007543,-0.001281,Safe-no-movement,kaggle,0,2.287935645899814,0.07499430257692914,0.9122203648983271,1.510229,0.001281,0,0,0,-5.719524999194824,1.2113386586025026
22-3-2023 19:49:1:796937,-0.438778,-0.571366,0.183817,-0.051966,-0.042964,-0.001281,Safe-no-movement,kaggle,0,0.7434876789355692,0.06743894581768016,1.544447966964245,0.571366,0.001281,0,0,0,-36.16848829407606,0.7809611454088052
22-3-2023 19:49:1:843396,-0.783666,-0.130676,0.375422,-0.043177,-0.020061,0.001382,Safe-no-movement,kaggle,0,0.8787208286003012,0.0476298958008518,0.135233149664732,0.130676,0.001382,0,0,0,-63.10359390568723,0.40634724507979564
22-3-2023 19:49:1:887982,-0.247174,-0.772551,-0.496378,-0.063684,0.008436,0.001915,Safe-no-movement,kaggle,0,0.9509580184009176,0.06426885075213341,0.07223718980061644,0.772551,0.001915,0,0,0,-15.06537716951945,0.42133501952619207
22-3-2023 19:49:1:927989,-0.228013,-0.801292,-0.822105,-0.078864,0.022817,0.002447,Safe-no-movement,kaggle,0,1.170433863342137,0.08213485127520473,0.2194758449412193,0.801292,0.002447,0,0,0,-11.233663421040022,0.558656754201782
22-3-2023 19:49:1:975976,-0.496259,-1.759314,-0.879587,-0.083658,0.017224,-0.000482,Safe-no-movement,kaggle,0,2.0285788217976646,0.08541404722877848,0.8581449584555276,1.759314,0.000482,0,0,0,-14.160195066416826,1.0944992304243577
22-3-2023 19:49:2:23976,-0.323815,-2.075462,-2.431583,-0.085788,-0.00994,-0.003944,Safe-no-movement,kaggle,0,3.213252955115423,0.086451950122597,1.1846741333177584,2.075462,0.003944,0,0,0,-5.783790004220502,1.6666390070782757
22-3-2023 19:49:2:72010,-0.381297,-1.079118,-2.632769,-0.075402,-0.010739,-0.004211,Safe-no-movement,kaggle,0,2.870776143744754,0.07627922552045216,0.3424768113706689,1.079118,0.004211,0,0,0,-7.632590204872453,1.2739372685652381
22-3-2023 19:49:2:111954,-0.228013,-0.791712,0.337101,-0.051699,-0.015533,-0.002879,Safe-no-movement,kaggle,0,0.8901881280459766,0.05405875813408962,1.9805880156987774,0.791712,0.002879,0,0,0,-14.84116017735492,0.9664692833682507
